status	archived_path	basename	reference_count
unused	backups/duplicates_2025-09-02/AI_EDGE_CROPPING_IMPLEMENTATION 2.md	AI_EDGE_CROPPING_IMPLEMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/AUTHENTICATION_SYSTEM_DOCUMENTATION 2.md	AUTHENTICATION_SYSTEM_DOCUMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/CENTRALIZATION_SUMMARY 2.md	CENTRALIZATION_SUMMARY 2.md	0
unused	backups/duplicates_2025-09-02/CONSOLIDATION_PROJECT_SUMMARY 2.md	CONSOLIDATION_PROJECT_SUMMARY 2.md	0
unused	backups/duplicates_2025-09-02/CSS_CLEANUP_SUMMARY 2.md	CSS_CLEANUP_SUMMARY 2.md	0
unused	backups/duplicates_2025-09-02/CSS_RULES_DOCUMENTATION 2.md	CSS_RULES_DOCUMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/CUSTOMIZATION_GUIDE 2.md	CUSTOMIZATION_GUIDE 2.md	0
unused	backups/duplicates_2025-09-02/DATABASE_CLEANUP_SUMMARY 2.md	DATABASE_CLEANUP_SUMMARY 2.md	0
unused	backups/duplicates_2025-09-02/DUAL_FORMAT_IMAGE_SYSTEM 2.md	DUAL_FORMAT_IMAGE_SYSTEM 2.md	0
unused	backups/duplicates_2025-09-02/ENHANCED_AI_SYSTEM_FIXES 2.md	ENHANCED_AI_SYSTEM_FIXES 2.md	0
unused	backups/duplicates_2025-09-02/FOOTER_SYSTEM_DOCUMENTATION 2.md	FOOTER_SYSTEM_DOCUMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/FUNCTION_CONSOLIDATION_COMPLETE 2.md	FUNCTION_CONSOLIDATION_COMPLETE 2.md	0
unused	backups/duplicates_2025-09-02/GLOBAL_CSS_IMPLEMENTATION 2.md	GLOBAL_CSS_IMPLEMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/MODAL_STANDARDIZATION_COMPLETE 2.md	MODAL_STANDARDIZATION_COMPLETE 2.md	0
unused	backups/duplicates_2025-09-02/NODEJS_MIGRATION_COMPLETE 2.md	NODEJS_MIGRATION_COMPLETE 2.md	0
unused	backups/duplicates_2025-09-02/ROOM_FILES_CLEANUP_SUMMARY 2.md	ROOM_FILES_CLEANUP_SUMMARY 2.md	0
unused	backups/duplicates_2025-09-02/ROOM_GENERICIZATION_COMPLETE 2.md	ROOM_GENERICIZATION_COMPLETE 2.md	0
unused	backups/duplicates_2025-09-02/SEO_IMPLEMENTATION_GUIDE 2.md	SEO_IMPLEMENTATION_GUIDE 2.md	0
unused	backups/duplicates_2025-09-02/SKU_DOCUMENTATION 2.md	SKU_DOCUMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/SYSTEM_REFERENCE_CLEANUP_REPORT 2.md	SYSTEM_REFERENCE_CLEANUP_REPORT 2.md	0
unused	backups/duplicates_2025-09-02/TEMPLATE_SYSTEM_DOCUMENTATION 2.md	TEMPLATE_SYSTEM_DOCUMENTATION 2.md	0
unused	backups/duplicates_2025-09-02/TEST_INLINE_EDITING 2.md	TEST_INLINE_EDITING 2.md	0
unused	backups/duplicates_2025-09-02/WHIMSICALFROG_SYSTEM_REFERENCE 2.md	WHIMSICALFROG_SYSTEM_REFERENCE 2.md	0
unused	backups/duplicates_2025-09-02/admin_user_manager 2.php	admin_user_manager 2.php	0
unused	backups/duplicates_2025-09-02/api/_deprecated_css_endpoints/css_generator 2.php	css_generator 2.php	0
unused	backups/duplicates_2025-09-02/api/_deprecated_css_endpoints/global_css_rules 2.php	global_css_rules 2.php	0
unused	backups/duplicates_2025-09-02/api/get_email_history 2.php	get_email_history 2.php	0
unused	backups/duplicates_2025-09-02/api/popup_sales_lingo 2.php	popup_sales_lingo 2.php	0
unused	backups/duplicates_2025-09-02/api/resend_email 2.php	resend_email 2.php	0
unused	backups/duplicates_2025-09-02/components/popup_sales_lingo_modal 2.php	popup_sales_lingo_modal 2.php	0
unused	backups/duplicates_2025-09-02/convert_images 2.php	convert_images 2.php	0
unused	backups/duplicates_2025-09-02/db_api 2.php	db_api 2.php	0
unused	backups/duplicates_2025-09-02/deploy 2.sh	deploy 2.sh	0
unused	backups/duplicates_2025-09-02/deploy_files 2.sh	deploy_files 2.sh	0
unused	backups/duplicates_2025-09-02/deploy_full 2.sh	deploy_full 2.sh	0
unused	backups/duplicates_2025-09-02/includes/README 2.md	README 2.md	0
unused	backups/duplicates_2025-09-02/install_autostart 2.sh	install_autostart 2.sh	0
unused	backups/duplicates_2025-09-02/modal_fix_summary 2.md	modal_fix_summary 2.md	0
unused	backups/duplicates_2025-09-02/process_customer_update 2.php	process_customer_update 2.php	0
unused	backups/duplicates_2025-09-02/process_email_campaign 2.php	process_email_campaign 2.php	0
unused	backups/duplicates_2025-09-02/process_image_upload 2.php	process_image_upload 2.php	0
unused	backups/duplicates_2025-09-02/process_inventory_delete 2.php	process_inventory_delete 2.php	0
unused	backups/duplicates_2025-09-02/process_inventory_get 2.php	process_inventory_get 2.php	0
unused	backups/duplicates_2025-09-02/process_inventory_update 2.php	process_inventory_update 2.php	0
unused	backups/duplicates_2025-09-02/process_multi_image_upload 2.php	process_multi_image_upload 2.php	0
unused	backups/duplicates_2025-09-02/process_social_post 2.php	process_social_post 2.php	0
unused	backups/duplicates_2025-09-02/scripts/deploy 2.sh	deploy 2.sh	0
unused	backups/duplicates_2025-09-02/scripts/deploy_files 2.sh	deploy_files 2.sh	0
unused	backups/duplicates_2025-09-02/sections/account_settings 2.php	account_settings 2.php	0
unused	backups/duplicates_2025-09-02/sections/admin_categories 2.php	admin_categories 2.php	0
unused	backups/duplicates_2025-09-02/sections/room3 2.php	room3 2.php	0
unused	backups/duplicates_2025-09-02/sections/room_template_clean 2.php	room_template_clean 2.php	0
unused	backups/duplicates_2025-09-02/sections/shop 2.php	shop 2.php	0
unused	backups/duplicates_2025-09-02/start_servers 2.sh	start_servers 2.sh	0
unused	backups/duplicates_2025-09-02/templates/email/admin_notification 2.php	admin_notification 2.php	0
unused	backups/duplicates_2025-09-02/templates/email/order_confirmation 2.php	order_confirmation 2.php	0
unused	backups/duplicates_2025-09-02/templates/email/password_reset 2.php	password_reset 2.php	0
unused	backups/duplicates_2025-09-02/templates/email/welcome 2.php	welcome 2.php	0
